BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_900112555.1_IMG-taxon_2667527438_annotated_assembly_genomic_NZ_FOME01000004.1.region001	NZ_FOME01000004.1	Saccharopolyspora kobensis strain CGMCC 4.3529, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Saccharopolyspora kobensis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
GCF_900112675.1_IMG-taxon_2634166315_annotated_assembly_genomic_NZ_FOMQ01000002.1.region002	NZ_FOMQ01000002.1	Acidovorax konjaci strain DSM 7481, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Acidovorax konjaci	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
GCF_900112775.1_IMG-taxon_2599185221_annotated_assembly_genomic_NZ_FOYZ01000007.1.region001	NZ_FOYZ01000007.1	[Clostridium] populeti strain 743A, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	[Clostridium] populeti	Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae
GCF_900112845.1_IMG-taxon_2667527403_annotated_assembly_genomic_NZ_FONG01000003.1.region002	NZ_FONG01000003.1	Streptomyces alni strain CGMCC 4.3510, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Streptomyces alni	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_900113515.1_IMG-taxon_2634166327_annotated_assembly_genomic_NZ_FOPQ01000011.1.region001	NZ_FOPQ01000011.1	Amycolatopsis regifaucium strain DSM 45072, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis regifaucium	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_900113515.1_IMG-taxon_2634166327_annotated_assembly_genomic_NZ_FOPQ01000011.1.region002	NZ_FOPQ01000011.1	Amycolatopsis regifaucium strain DSM 45072, whole genome shotgun sequence	NRP-siderophore.NRPS.RiPP-like	Others	Amycolatopsis regifaucium	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_900113695.1_IMG-taxon_2667527406_annotated_assembly_genomic_NZ_FOQH01000002.1.region003	NZ_FOQH01000002.1	Albimonas pacifica strain CGMCC 1.11030, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Albimonas pacifica	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas
GCF_900113825.1_IMG-taxon_2671180118_annotated_assembly_genomic_NZ_FOQU01000002.1.region001	NZ_FOQU01000002.1	Paraburkholderia megapolitana strain LMG 23650, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Paraburkholderia megapolitana	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
GCF_900113905.1_IMG-taxon_2671180085_annotated_assembly_genomic_NZ_FORC01000001.1.region001	NZ_FORC01000001.1	Pseudomonas argentinensis strain LMG 22563, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas argentinensis	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_900114035.1_IMG-taxon_2675903226_annotated_assembly_genomic_NZ_FORP01000003.1.region001	NZ_FORP01000003.1	Amycolatopsis sacchari strain DSM 44468, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis sacchari	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_900114285.1_IMG-taxon_2675903028_annotated_assembly_genomic_NZ_FOSN01000001.1.region003	NZ_FOSN01000001.1	Methylocapsa palsarum strain NE2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Methylocapsa palsarum	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocapsa
GCF_900114285.1_IMG-taxon_2675903028_annotated_assembly_genomic_NZ_FOSN01000011.1.region001	NZ_FOSN01000011.1	Methylocapsa palsarum strain NE2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Methylocapsa palsarum	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocapsa
GCF_900115005.1_IMG-taxon_2671180038_annotated_assembly_genomic_NZ_FOUY01000001.1.region003	NZ_FOUY01000001.1	Pseudonocardia ammonioxydans strain CGMCC 4.1877, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudonocardia ammonioxydans	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
GCF_900115005.1_IMG-taxon_2671180038_annotated_assembly_genomic_NZ_FOUY01000002.1.region001	NZ_FOUY01000002.1	Pseudonocardia ammonioxydans strain CGMCC 4.1877, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudonocardia ammonioxydans	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
GCF_900115045.1_IMG-taxon_2651870110_annotated_assembly_genomic_NZ_FOVC01000004.1.region001	NZ_FOVC01000004.1	Izhakiella capsodis strain N6PO6, whole genome shotgun sequence	NRP-siderophore.NRPS.ladderane	Others	Izhakiella capsodis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Izhakiella
GCF_900115195.1_IMG-taxon_2684622846_annotated_assembly_genomic_NZ_FOVO01000018.1.region001	NZ_FOVO01000018.1	Xenorhabdus japonica strain DSM 16522, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Xenorhabdus japonica	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
GCF_900115475.1_IMG-taxon_2663762774_annotated_assembly_genomic_NZ_FOWP01000002.1.region003	NZ_FOWP01000002.1	Pseudomonas composti strain CCUG 59231, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas composti	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_900115565.1_IMG-taxon_2675903051_annotated_assembly_genomic_NZ_FOWW01000010.1.region001	NZ_FOWW01000010.1	Amycolatopsis arida strain CGMCC 4.5579, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis arida	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_900115955.1_IMG-taxon_2634166311_annotated_assembly_genomic_NZ_FOYL01000017.1.region001	NZ_FOYL01000017.1	Lentzea waywayandensis strain DSM 44232, whole genome shotgun sequence	NRP-siderophore.NRPS-like.NRPS.PKS-like	Others	Lentzea waywayandensis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lentzea
GCF_900116005.1_IMG-taxon_2634166304_annotated_assembly_genomic_NZ_FOYI01000007.1.region001	NZ_FOYI01000007.1	Poseidonocella sedimentorum strain KMM 9023,NRIC 0796,JCM 17311,KCTC 23692, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Poseidonocella sedimentorum	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Poseidonocella
GCF_900119165.1_IMG-taxon_2642422517_annotated_assembly_genomic_NZ_FPJG01000006.1.region012	NZ_FPJG01000006.1	Amycolatopsis australiensis strain DSM 44671, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis australiensis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_900129155.1_IMG-taxon_2582581270_annotated_assembly_genomic_NZ_FQVF01000002.1.region001	NZ_FQVF01000002.1	Marinomonas polaris DSM 16579, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Marinomonas polaris DSM 16579	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas
GCF_900129375.1_IMG-taxon_2695420942_annotated_assembly_genomic_NZ_FQVN01000003.1.region001	NZ_FQVN01000003.1	Streptoalloteichus hindustanus strain DSM 44523, whole genome shotgun sequence	NRP-siderophore.NRPS.terpene	Others	Streptoalloteichus hindustanus	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
GCF_900129885.1_IMG-taxon_2617270875_annotated_assembly_genomic_NZ_FQXE01000005.1.region001	NZ_FQXE01000005.1	Candidimonas bauzanensis strain CGMCC 1.10190, whole genome shotgun sequence	NRP-siderophore.hserlactone.NRPS	Others	Candidimonas bauzanensis	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Candidimonas
GCF_900129885.1_IMG-taxon_2617270875_annotated_assembly_genomic_NZ_FQXE01000016.1.region001	NZ_FQXE01000016.1	Candidimonas bauzanensis strain CGMCC 1.10190, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Candidimonas bauzanensis	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Candidimonas
GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic_NZ_FQXZ01000006.1.region001	NZ_FQXZ01000006.1	Vibrio aerogenes CECT 7868, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Vibrio aerogenes CECT 7868	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_900142725.1_IMG-taxon_2698536749_annotated_assembly_genomic_NZ_FRBW01000004.1.region001	NZ_FRBW01000004.1	Roseibium suaedae strain DSM 22153, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Roseibium suaedae	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium
GCF_900143005.1_IMG-taxon_2700988713_annotated_assembly_genomic_NZ_FRCS01000014.1.region002	NZ_FRCS01000014.1	Cryptosporangium aurantiacum strain DSM 46144, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Cryptosporangium aurantiacum	Bacteria,Actinobacteria,Cryptosporangiales,Cryptosporangiaceae,Cryptosporangium
GCF_900143285.1_IMG-taxon_2582580732_annotated_assembly_genomic_NZ_FRDN01000007.1.region001	NZ_FRDN01000007.1	Desulfitobacterium chlororespirans DSM 11544, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Desulfitobacterium chlororespirans DSM 11544	Bacteria,Firmicutes,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium
GCF_900155355.1_ASM90015535v1_genomic_NZ_LT699767.1.region008	NZ_LT699767.1	Xenorhabdus innexi strain HGB1681 (deposited as PTA-6826 in the American Type Culture Collection), whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Xenorhabdus innexi	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
GCF_900155685.1_Paenibacillus_bouchesdurhonensis_genomic_NZ_LT732548.1.region010	NZ_LT732548.1	Paenibacillus bouchesdurhonensis strain Marseille-P3071T, whole genome shotgun sequence	NRP-siderophore.NRPS.lanthipeptide-class-iii	Others	Paenibacillus bouchesdurhonensis	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
GCF_900156375.1_IMG-taxon_2681812895_annotated_assembly_genomic_NZ_FTNK01000002.1.region001	NZ_FTNK01000002.1	Paenibacillus macquariensis strain ATCC 23464, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Paenibacillus macquariensis	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
GCF_900156495.1_IMG-taxon_2681812929_annotated_assembly_genomic_NZ_FTNT01000001.1.region001	NZ_FTNT01000001.1	Williamsia sterculiae strain CPCC 203464, whole genome shotgun sequence	NRP-siderophore.arylpolyene.NRPS	Others	Williamsia sterculiae	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia
GCF_900156525.1_IMG-taxon_2681812934_annotated_assembly_genomic_NZ_FTPS01000001.1.region006	NZ_FTPS01000001.1	Pontibaca methylaminivorans strain DSM 21219, whole genome shotgun sequence	NRP-siderophore.NRPS-like.NRPS.T1PKS	Others	Pontibaca methylaminivorans	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pontibaca
GCF_900156605.1_IMG-taxon_2681813507_annotated_assembly_genomic_NZ_FTOA01000006.1.region001	NZ_FTOA01000006.1	Insolitispirillum peregrinum strain DSM 11589, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Insolitispirillum peregrinum	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Insolitispirillum
GCF_900157365.1_PRJEB19151_genomic_NZ_FUEZ01000004.1.region006	NZ_FUEZ01000004.1	Mycobacterium numidiamassiliense strain AB215, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium numidiamassiliense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_900157375.1_PRJEB19165_genomic_NZ_LT721901.1.region011	NZ_LT721901.1	Mycobacterium rhizamassiliense strain AB57, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium rhizamassiliense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_900157385.1_PRJEB19184_genomic_NZ_LT717701.1.region006	NZ_LT717701.1	Mycobacterium terramassiliense strain AB308, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium terramassiliense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_900167475.1_IMG-taxon_2708742384_annotated_assembly_genomic_NZ_LT796768.1.region001	NZ_LT796768.1	Aeromicrobium choanae strain 9H-4 chromosome I	NRP-siderophore.NRPS	Others	Aeromicrobium choanae	Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
GCF_900169565.1_NSJP_Ch1_genomic_NZ_LT828648.1.region014	NZ_LT828648.1	Nitrospira japonica isolate Genome sequencing of Nitrospira japonica strain NJ11 chromosome I, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Nitrospira japonica	Bacteria,Nitrospirae,Nitrospirales,Nitrospiraceae,Nitrospira
GCF_900172375.1_A.soesokkakensis_CECT8620_Spades_Prokka_genomic_NZ_FWFS01000009.1.region001	NZ_FWFS01000009.1	Aquimixticola soesokkakensis strain CECT 8620, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Aquimixticola soesokkakensis	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aquimixticola
GCF_900176255.2_PRJEB20293_genomic_NZ_FXEG02000003.1.region005	NZ_FXEG02000003.1	Mycobacterium ahvazicum strain AFP003, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium ahvazicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium simiae complex
GCF_900176465.1_IMG-taxon_2718217637_annotated_assembly_genomic_NZ_FWXR01000005.1.region001	NZ_FWXR01000005.1	Fulvimarina manganoxydans strain CGMCC 1.10972, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Fulvimarina manganoxydans	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Fulvimarina
GCF_900176515.1_IMG-taxon_2595698251_annotated_assembly_genomic_NZ_FWXV01000001.1.region010	NZ_FWXV01000001.1	Kibdelosporangium aridum strain DSM 43828, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Kibdelosporangium aridum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium
GCF_900176515.1_IMG-taxon_2595698251_annotated_assembly_genomic_NZ_FWXV01000010.1.region001	NZ_FWXV01000010.1	Kibdelosporangium aridum strain DSM 43828, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Kibdelosporangium aridum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium
GCF_900182565.1_IMG-taxon_2724679802_annotated_assembly_genomic_NZ_FXTI01000011.1.region001	NZ_FXTI01000011.1	Melghirimyces algeriensis strain DSM 45474, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Melghirimyces algeriensis	Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Melghirimyces
GCF_900182695.1_IMG-taxon_2724679710_annotated_assembly_genomic_NZ_FXTK01000009.1.region001	NZ_FXTK01000009.1	Paracoccus laeviglucosivorans strain DSM 100094, whole genome shotgun sequence	NRP-siderophore.redox-cofactor	Others	Paracoccus laeviglucosivorans	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
GCF_900184095.1_Vmangrovi_CECT7927_Spades_Prokka_genomic_NZ_FXXI01000001.1.region003	NZ_FXXI01000001.1	Vibrio mangrovi strain CECT 7927, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Vibrio mangrovi	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_900184095.1_Vmangrovi_CECT7927_Spades_Prokka_genomic_NZ_FXXI01000004.1.region002	NZ_FXXI01000004.1	Vibrio mangrovi strain CECT 7927, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Vibrio mangrovi	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_900184295.1_Chr_1_genomic_NZ_LT855380.1.region003	NZ_LT855380.1	Pseudomonas viridiflava strain CFBP 1590 isolate E12-5 chromosome I, complete sequence	NRP-siderophore.NRPS	Others	Pseudomonas viridiflava	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_900186025.1_BXF1_genomic_NZ_LT883155.1.region005	NZ_LT883155.1	Serratia grimesii isolate BXF1 chromosome 1	NRP-siderophore.NRPS	Others	Serratia grimesii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
GCF_900186025.1_BXF1_genomic_NZ_LT883155.1.region008	NZ_LT883155.1	Serratia grimesii isolate BXF1 chromosome 1	NRP-siderophore.NRPS	Others	Serratia grimesii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
GCF_900187015.1_50465_F01_genomic_NZ_LT906479.1.region002	NZ_LT906479.1	Serratia ficaria strain NCTC12148 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Serratia ficaria	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
GCF_900187045.1_51485_B01_genomic_NZ_LT906453.1.region001	NZ_LT906453.1	Dermatophilus congolensis strain NCTC13039 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Dermatophilus congolensis	Bacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Dermatophilus
GCF_900187065.1_50465_H02_genomic_NZ_LT906483.1.region008	NZ_LT906483.1	Mycolicibacterium thermoresistibile strain NCTC10409 chromosome 1, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium thermoresistibile	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_900187145.1_50818_H01_genomic_NZ_LT906469.1.region003	NZ_LT906469.1	Mycolicibacter terrae strain NCTC10856 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Mycolicibacter terrae	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacter
GCF_900187205.1_52191_D01_genomic_NZ_LT906435.1.region005	NZ_LT906435.1	Pandoraea sputorum strain NCTC13161 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Pandoraea sputorum	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea
GCF_900187235.1_52184_D01_genomic_NZ_LT906481.1.region006	NZ_LT906481.1	Corynebacterium urealyticum strain NCTC12011 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Corynebacterium urealyticum	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_900187975.1_IMG-taxon_2706795031_annotated_assembly_genomic_NZ_FZPC01000009.1.region001	NZ_FZPC01000009.1	Pseudomonas delhiensis strain RLD-1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas delhiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_900187985.1_IMG-taxon_2657245330_annotated_assembly_genomic_NZ_FZOA01000003.1.region001	NZ_FZOA01000003.1	Methylobacillus rhizosphaerae strain Ca-68, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Methylobacillus rhizosphaerae	Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus
GCF_900188015.1_IMG-taxon_2693429819_annotated_assembly_genomic_NZ_FZPB01000001.1.region002	NZ_FZPB01000001.1	Stenotrophomonas lactitubi strain YR347, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Stenotrophomonas lactitubi	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
GCF_900188105.1_IMG-taxon_2724679706_annotated_assembly_genomic_NZ_FZNP01000020.1.region001	NZ_FZNP01000020.1	Actinomadura mexicana strain DSM 44485, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinomadura mexicana	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
GCF_900188125.1_IMG-taxon_2675903021_annotated_assembly_genomic_NZ_FZOW01000002.1.region002	NZ_FZOW01000002.1	Rhodococcus kyotonensis strain JCM 23211, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Rhodococcus kyotonensis	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
GCF_900188155.1_IMG-taxon_2671180091_annotated_assembly_genomic_NZ_FZOG01000001.1.region003	NZ_FZOG01000001.1	Pseudomonas segetis strain CIP 108523, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas segetis	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_900188345.1_IMG-taxon_2671180041_annotated_assembly_genomic_NZ_FZOD01000015.1.region001	NZ_FZOD01000015.1	Streptosporangium subroseum strain CGMCC 4.2132, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptosporangium subroseum	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium
GCF_900188405.1_IMG-taxon_2671180020_annotated_assembly_genomic_NZ_FZOF01000005.1.region001	NZ_FZOF01000005.1	Streptomyces glauciniger strain CGMCC 4.1858, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces glauciniger	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_900197575.1_IMG-taxon_2690315601_annotated_assembly_genomic_NZ_FZLN01000002.1.region001	NZ_FZLN01000002.1	Acinetobacter apis strain ANC 5114, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Acinetobacter apis	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
GCF_900215245.1_IMG-taxon_2617270901_annotated_assembly_genomic_NZ_LT907842.1.region012	NZ_LT907842.1	Pseudomonas fluorescens strain ATCC 13525 chromosome I	NRP-siderophore.NRPS	Others	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_900215415.1_IMG-taxon_2599185153_annotated_assembly_genomic_NZ_OBEG01000005.1.region001	NZ_OBEG01000005.1	Nocardia amikacinitolerans strain DSM 45537, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nocardia amikacinitolerans	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_900215415.1_IMG-taxon_2599185153_annotated_assembly_genomic_NZ_OBEG01000005.1.region002	NZ_OBEG01000005.1	Nocardia amikacinitolerans strain DSM 45537, whole genome shotgun sequence	terpene.NRPS.NRP-siderophore	Others	Nocardia amikacinitolerans	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_900230195.1_IMG-taxon_2718217652_annotated_assembly_genomic_NZ_OCNE01000007.1.region001	NZ_OCNE01000007.1	Streptomyces zhaozhouensis strain CGMCC 4.7095, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces zhaozhouensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_900230245.1_IMG-taxon_2711768653_annotated_assembly_genomic_NZ_OCSU01000003.1.region001	NZ_OCSU01000003.1	Caballeronia arationis strain OK806, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Caballeronia arationis	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia
GCF_900231165.1_HDIA1_genomic_NZ_LT960614.1.region005	NZ_LT960614.1	Hartmannibacter diazotrophicus strain E19T chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Hartmannibacter diazotrophicus	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Hartmannibacter
GCF_900232865.1_PRJEB21309_genomic_NZ_OCTS01000002.1.region001	NZ_OCTS01000002.1	Corynebacterium dentalis strain Marseille-P4122, whole genome shotgun sequence	NRP-siderophore.NRPS.terpene	Others	Corynebacterium dentalis	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_900232995.1_PRJEB22891_genomic_NZ_OCVX01000003.1.region017	NZ_OCVX01000003.1	Mycobacterium simulans strain FI-09026, whole genome shotgun sequence	NRP-siderophore.NRPS-like.NRPS	Others	Mycobacterium simulans	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_900233005.1_Vibrio_tapetis_CECT4600_genomic_NZ_LT960612.1.region002	NZ_LT960612.1	Vibrio tapetis subsp. tapetis isolate Vibrio tapetis CECT4600 chromosome B, complete sequence	NRP-siderophore.NRPS	Others	Vibrio tapetis subsp. tapetis	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_900240005.1_BStabCH16_genomic_NZ_LR025742.1.region002	NZ_LR025742.1	Burkholderia stabilis isolate E chromosome I	NRP-siderophore.NRPS	Others	Burkholderia stabilis	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_900240005.1_BStabCH16_genomic_NZ_LR025743.1.region004	NZ_LR025743.1	Burkholderia stabilis isolate E chromosome II, complete sequence	NRP-siderophore.NRPS	Others	Burkholderia stabilis	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_900269665.1_PRJEB24498_genomic_NZ_LT985361.1.region005	NZ_LT985361.1	Nocardia suismassiliense strain S-137, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nocardia suismassiliense	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_900269665.1_PRJEB24498_genomic_NZ_LT985361.1.region006	NZ_LT985361.1	Nocardia suismassiliense strain S-137, whole genome shotgun sequence	terpene.NRPS.NRP-siderophore	Others	Nocardia suismassiliense	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
